# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:47:24 BST 2015 [seed=1443214044375]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	clock.rate	treeLikelihood	coalescent
31000	-5088.989656915148	-0.42244562449805123	-5088.5672112906495	0.20215579108482448	0.09343032553277829	0.05187578186609409	0.09343032553277829	0.015763145246130077	0.35855823138544923	1.0	-5088.5672112906495	2.867533162578942
32000	-5085.633644931935	0.09349859151844875	-5085.727143523453	0.17128911382314752	0.09751260358410253	0.061725208568552105	0.09751260358410253	0.016238594641349417	0.27856792429648575	1.0	-5085.727143523453	3.131048224078225
33000	-5087.883575335494	-0.5043679386376105	-5087.379207396857	0.1760208935763666	0.11023330581084821	0.062184399190874755	0.11023330581084821	0.01637942619501425	0.2530735068113239	1.0	-5087.379207396857	2.293973732959512
34000	-5082.467369108241	-0.43261169912967334	-5082.034757409111	0.1910215281181209	0.11116615650370937	0.06328581454071577	0.11116615650370937	0.01678632750397432	0.2617930708059102	1.0	-5082.034757409111	2.3996043707981363
35000	-5089.834160435908	-2.6417157723573386	-5087.192444663551	0.17712259863792038	0.09125565104272856	0.05429324836697154	0.09125565104272856	0.016869727500177463	0.12735092576930954	1.0	-5087.192444663551	-0.5301076171580221
36000	-5083.910186270588	1.1701539391420117	-5085.080340209731	0.1958395686507283	0.08382417732467491	0.05443760432519903	0.08382417732467491	0.012516183698889056	0.23331980394706758	1.0	-5085.080340209731	3.8872256850644
37000	-5078.679660460144	-2.8518924814065887	-5075.827767978738	0.17325399255299612	0.09282993927480443	0.057905244030736755	0.09282993927480443	0.015142357054827192	0.5773697646773093	1.0	-5075.827767978738	0.8907037823943712
38000	-5076.387734298723	-0.6648815357365416	-5075.722852762987	0.21852374704125835	0.10280926440670417	0.06270345672623788	0.10280926440670417	0.014601758568125199	0.2360396547487336	1.0	-5075.722852762987	2.1832316463179637
39000	-5064.422277360428	-1.3008389202065243	-5063.121438440221	0.20510273405528587	0.10466192681379677	0.06653117935919442	0.10466192681379677	0.015365526127370065	0.2646392782416414	1.0	-5063.121438440221	1.6616421268513848
40000	-5059.560622084426	-0.5941061063999324	-5058.966515978026	0.1844542064284485	0.11245752793066996	0.06155810452104886	0.11245752793066996	0.018385137384980627	0.28896710101394957	1.0	-5058.966515978026	2.250480044129409
41000	-5065.105071141916	-2.444530571207684	-5062.660540570708	0.1849308083805392	0.11170294614338172	0.059792274342071426	0.11170294614338172	0.014978499821020176	0.49891674675792214	1.0	-5062.660540570708	0.9461819766788242
42000	-5056.59148456331	0.5727626978712501	-5057.164247261181	0.1713474409672123	0.09165347621901321	0.055141659365039876	0.09165347621901321	0.01550893670092859	0.284589352830017	1.0	-5057.164247261181	3.402083278048204
43000	-5058.735033639964	-0.5969736760309208	-5058.138059963933	0.18758821261006017	0.10679094813301442	0.06277456673423618	0.10679094813301442	0.014727422628819185	0.35622063733699255	1.0	-5058.138059963933	2.4568499368637466
44000	-5054.2638274092105	-1.7312008089913853	-5052.532626600219	0.18677255973741994	0.0913805311519786	0.051521392070008304	0.0913805311519786	0.013319292894677927	0.5264082154765586	1.0	-5052.532626600219	1.7131494840251342
45000	-5047.927159412288	1.0760307802691917	-5049.003190192558	0.1876117119111681	0.08883741126703047	0.05591721218778974	0.08883741126703047	0.01278236608695342	0.2915265649518552	1.0	-5049.003190192558	3.9294352200366305
46000	-5053.8283524101935	-3.461453165198359	-5050.366899244995	0.19529498017059435	0.1008906763792827	0.06333955162914667	0.1008906763792827	0.015981977572025057	0.5983117789153668	1.0	-5050.366899244995	0.26747787671296785
47000	-5050.238034688009	-0.9569856685135023	-5049.281049019495	0.19989185303777238	0.11323347751956567	0.06550471854510989	0.11323347751956567	0.015768447774793002	0.22995473365055286	1.0	-5049.281049019495	1.8157158652278547
48000	-5051.0295488248585	0.26668256518199174	-5051.296231390041	0.18902781025337892	0.09151506329536892	0.05303981105179829	0.09151506329536892	0.0139576109822394	0.29441462913869476	1.0	-5051.296231390041	3.286490696572808
49000	-5050.324060664922	-0.9731719982056481	-5049.350888666717	0.2032199123264298	0.09609289922885889	0.06614186745434697	0.09609289922885889	0.01527420534846519	0.3698014079965155	1.0	-5049.350888666717	2.27461318259702
50000	-5051.68661993293	-2.908768475197069	-5048.777851457733	0.18129125842221866	0.09974517692404351	0.05860017621103311	0.09974517692404351	0.012495346193696855	0.6194278514009736	1.0	-5048.777851457733	0.45026072976850584
51000	-5049.479171641591	-1.6705093055190772	-5047.808662336072	0.20527024559532495	0.09527151606525852	0.057775742592992965	0.09527151606525852	0.015657730257276774	0.5002796499825167	1.0	-5047.808662336072	1.4748909098264762
52000	-5048.870328351337	-0.4426424047776658	-5048.427685946559	0.18654181927593042	0.11139523304221398	0.06905800501491544	0.11139523304221398	0.017423848241746018	0.2722627174070422	1.0	-5048.427685946559	2.0943580414915863
53000	-5047.4044527124615	-0.5894217927355792	-5046.815030919726	0.2081581667657779	0.09825060928447178	0.06105185986876591	0.09825060928447178	0.016742119721984045	0.22251875277145453	1.0	-5046.815030919726	1.7458225607463334
54000	-5050.116846133256	-1.7074972856176944	-5048.409348847638	0.1795111231713065	0.1170332346037614	0.0632262044438964	0.1170332346037614	0.015632622949453633	0.1983669643157171	1.0	-5048.409348847638	0.9229031167547147
55000	-5047.801593245544	0.19582011821952072	-5047.997413363763	0.16783277603026525	0.09711005263161832	0.0622383141588681	0.09711005263161832	0.013613538065808983	0.24732427251443906	1.0	-5047.997413363763	3.0468021699006007
56000	-5048.157620785902	-0.9614388655180686	-5047.196181920383	0.1899678936654414	0.10149243542767211	0.06847860554557417	0.10149243542767211	0.01533076863783965	0.30611511989966617	1.0	-5047.196181920383	2.1028041063994634
57000	-5049.912229007514	-0.06083787733854518	-5049.851391130175	0.20350719803554224	0.09879608039279761	0.06245163446505468	0.09879608039279761	0.01318611181610212	0.3024567368311565	1.0	-5049.851391130175	2.9913821030557255
58000	-5050.28737656686	0.035860833374957934	-5050.3232374002355	0.1971880240504059	0.0850833182786862	0.05671852117170876	0.0850833182786862	0.013209965065993416	0.35827375987345156	1.0	-5050.3232374002355	3.257439951822855
59000	-5048.903504504905	-2.6213676934736467	-5046.282136811431	0.1833577915885302	0.11144524560949515	0.0690765872823601	0.11144524560949515	0.017476478777059157	0.4791748257452727	1.0	-5046.282136811431	0.8909795499185964
60000	-5051.8608075029915	0.2648381713720478	-5052.125645674363	0.17011959895881368	0.10347269321405321	0.05626564137213265	0.10347269321405321	0.013081168029078556	0.23093017263591897	1.0	-5052.125645674363	3.047235285127256
61000	-5052.352694391834	-0.625123179010318	-5051.727571212824	0.1937588888907547	0.1048301319386767	0.06641184751505637	0.1048301319386767	0.013481497235898601	0.2770896077792512	1.0	-5051.727571212824	2.3394995005436052
62000	-5052.4219117663215	-0.414760199051182	-5052.007151567271	0.16880969829384693	0.08950674166491951	0.06215980853510875	0.08950674166491951	0.016333801821653945	0.37097889543828744	1.0	-5052.007151567271	2.8416667082186287
63000	-5049.4056959546315	-0.29582432961198935	-5049.10987162502	0.19547905620549993	0.0915050367522394	0.05888471512562027	0.0915050367522394	0.016191464860413028	0.33725978817166447	1.0	-5049.10987162502	2.8653109204352085
64000	-5046.790909621318	-0.05784924238782363	-5046.7330603789305	0.19352610507063742	0.09541059679762183	0.060870146667050304	0.09541059679762183	0.013005465383445675	0.2821470175179422	1.0	-5046.7330603789305	2.9248607633080903
65000	-5047.919534730434	-2.1538789123802493	-5045.765655818053	0.1962710061489199	0.10323770227013593	0.06465411647189272	0.10323770227013593	0.01640613217934617	0.18969924746186578	1.0	-5045.765655818053	0.4318427294536671
66000	-5048.754946709651	-1.5932414707208642	-5047.16170523893	0.1920001593551488	0.10769020095304246	0.05675644160945442	0.10769020095304246	0.015088355636288289	0.45251249210292155	1.0	-5047.16170523893	1.8618556307868477
67000	-5047.4831344013555	-1.4583138573753596	-5046.02482054398	0.1965035126632477	0.1089412401441171	0.06234218361166909	0.1089412401441171	0.015773312422127272	0.3907741748770596	1.0	-5046.02482054398	1.8500977097915445
68000	-5049.497319734869	-0.18219344822651706	-5049.315126286642	0.18602390837687283	0.10500373263328847	0.06525186629932737	0.10500373263328847	0.013752796689008282	0.23849260966518313	1.0	-5049.315126286642	2.632426606784496
69000	-5051.884200465883	0.5873732088776675	-5052.47157367476	0.19549241570222492	0.10000107880807978	0.05799464434906207	0.10000107880807978	0.014956434581076613	0.2465441411259274	1.0	-5052.47157367476	3.435195989725309
70000	-5051.416507593986	-1.6075805332645297	-5049.8089270607215	0.21055222765903525	0.11114816824759614	0.06661973196146616	0.11114816824759614	0.015452929384863477	0.38211326024499953	1.0	-5049.8089270607215	1.67841825607621
71000	-5051.39885171571	-1.1389425257922747	-5050.259909189918	0.17149446601162507	0.10119522885896581	0.06713422288174646	0.10119522885896581	0.01797053025981054	0.24076738231498176	1.0	-5050.259909189918	1.685170454856407
72000	-5045.734843509887	-0.8808517151855959	-5044.853991794701	0.1919584862296944	0.09900063614064325	0.06562104815174233	0.09900063614064325	0.016813847752842524	0.3720387202046598	1.0	-5044.853991794701	2.1805524193233676
73000	-5044.9209763671215	-0.2414257579764829	-5044.679550609145	0.18577976683189637	0.10175715025859253	0.06514710658431866	0.10175715025859253	0.015042993494483962	0.33359351458588354	1.0	-5044.679550609145	2.7109036707101204
74000	-5048.379432539049	-0.48991843899217	-5047.889514100057	0.16763836383675704	0.1004113617076631	0.06901675136006737	0.1004113617076631	0.01564204611896488	0.35142823589905475	1.0	-5047.889514100057	2.514493285200464
75000	-5050.45377549685	0.3884339649781632	-5050.842209461828	0.22414217280422488	0.08627646849534164	0.0540717940096804	0.08627646849534164	0.017924756927545252	0.23072887233666162	1.0	-5050.842209461828	2.9720834724120877
76000	-5044.866078251802	0.08479691975797543	-5044.950875171559	0.18199106764292292	0.10003435911909775	0.054048990511808975	0.10003435911909775	0.014789061870665062	0.33115976367961014	1.0	-5044.950875171559	3.0298040474951753
77000	-5049.350761661391	-1.518736696083042	-5047.832024965308	0.1823878657143404	0.09596278548040407	0.05495826722587641	0.09596278548040407	0.015354407186091093	0.47700447140610414	1.0	-5047.832024965308	1.754422375774852
78000	-5045.855538682	-0.25250528333640876	-5045.603033398664	0.19061761960145493	0.08905099459784323	0.056202580310215314	0.08905099459784323	0.01637540149571131	0.34255013778590165	1.0	-5045.603033398664	2.8468303298203104
79000	-5049.847903502728	-0.2772660755983143	-5049.570637427129	0.17805308671854694	0.09870075254638136	0.056798986577572326	0.09870075254638136	0.01690978345276557	0.3284497778998419	1.0	-5049.570637427129	2.7800354460050434
80000	-5048.958454771041	-0.40028202408288127	-5048.558172746958	0.17768052300678808	0.10196177315419878	0.06842674109877775	0.10196177315419878	0.013955971483849836	0.3047717599407775	1.0	-5048.558172746958	2.5821987227963055
81000	-5049.221912892294	0.5149839566334999	-5049.736896848928	0.19714782218264174	0.09521514378847037	0.049044283521621594	0.09521514378847037	0.01544065398931792	0.23594067458033774	1.0	-5049.736896848928	3.2414819296332746
82000	-5052.534130513778	-0.893763016012024	-5051.640367497766	0.19796578874005116	0.10937773295300143	0.0665624791711606	0.10937773295300143	0.015965016253397968	0.2940588027699438	1.0	-5051.640367497766	1.826131827205606
83000	-5051.687907466153	-1.8363540236684686	-5049.851553442484	0.1966547227192916	0.10054472659474015	0.06372862626497416	0.10054472659474015	0.018695184197494198	0.46281195374749023	1.0	-5049.851553442484	1.3370818869605263
84000	-5048.358951496534	0.3488097161267518	-5048.707761212661	0.17104466595435908	0.10334935821512017	0.05764414020392636	0.10334935821512017	0.014767177417808593	0.30302693898759686	1.0	-5048.707761212661	3.098746511690492
85000	-5050.919979069315	0.5294439922276131	-5051.449423061542	0.18453534633129023	0.09411284293896155	0.05829962738162999	0.09411284293896155	0.013291512837862725	0.22362124629454333	1.0	-5051.449423061542	2.975512834657472
86000	-5048.11283324716	0.2964866950609233	-5048.4093199422205	0.2145568769994097	0.09933679639605644	0.055590523895087715	0.09933679639605644	0.014731484028729033	0.2461651559809569	1.0	-5048.4093199422205	2.8386044579609373
87000	-5047.622109565273	0.6353403059738154	-5048.2574498712465	0.19903986852160588	0.09358973461627325	0.055928196379247716	0.09358973461627325	0.015075301744926307	0.31089090522524687	1.0	-5048.2574498712465	3.410897456012382
88000	-5050.809526835475	0.6683226212140019	-5051.477849456689	0.20035863015253302	0.09028169559466524	0.05635577235738561	0.09028169559466524	0.011824400258729292	0.19319356808873375	1.0	-5051.477849456689	3.5080027052893965
89000	-5050.624625364254	-0.5906398142601605	-5050.033985549993	0.19383959328823186	0.1105897761653447	0.057467567935152376	0.1105897761653447	0.014209024128566988	0.31843357333373035	1.0	-5050.033985549993	2.748761532355927
90000	-5048.557452138448	-0.907498844326275	-5047.649953294122	0.18933887508052885	0.09673150600973501	0.06778132518051681	0.09673150600973501	0.015820325683732435	0.30591116356627285	1.0	-5047.649953294122	2.2320893581491017
