# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:58:52 BST 2015 [seed=1443214732102]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
12000	-5189.542016468255	-35.82436709530738	-5153.717649372948	3.933338406657494	1.9544078332263273	1.1254069645644857	1.9544078332263273	0.25389901929751857	7.080561202117961	10.220222172263872	0.2531021934413239	0.2896339520672735	0.23730895258799195	0.2199549019034107	0.05	-5153.717649372948	-29.8392990508601
13000	-5189.158483218141	-35.81744466146719	-5153.341038556673	3.4612056547366503	1.8513611615989924	1.1390917970255934	1.8513611615989924	0.29435199420967534	3.7765031158442217	11.234128618457598	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5153.341038556673	-30.283307880895332
14000	-5193.436482354574	-35.06238601559899	-5158.374096338975	3.7836503989741113	1.7836174091303079	1.202948472896362	1.7836174091303079	0.29971521138700674	4.974037742465113	9.935617608925188	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5158.374096338975	-29.482364291839083
15000	-5191.199158750048	-35.1016378264288	-5156.097520923619	3.812780883215026	1.8432700909241242	1.0439711631707342	1.8432700909241242	0.27053548625903967	4.527528292411324	10.986306660638416	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5156.097520923619	-29.428528257014115
16000	-5194.938053444061	-36.04845138520979	-5158.889602058851	3.5862805956842925	1.7636967424436334	1.1288513849448307	1.7636967424436334	0.270379744699146	7.193447267971253	11.323179774447512	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5158.889602058851	-29.854856799006125
17000	-5195.665495273419	-36.656373285168854	-5159.00912198825	3.7710875256033196	2.119101580208944	1.1711013060914475	2.119101580208944	0.30793942736520485	4.292109783733757	11.323179774447512	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5159.00912198825	-30.979170805792116
18000	-5195.527534783403	-36.0583881379155	-5159.469146645488	3.6665209924922717	2.0615357113415076	1.1107456892261474	2.0615357113415076	0.29933175858514827	4.568002599608502	11.516829921115072	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5159.469146645488	-30.286353154149058
19000	-5197.880523471573	-35.9770966708671	-5161.903426800705	3.8780020028935716	1.9092073981493223	1.035754390017538	1.9092073981493223	0.31744194502295253	5.546241712532962	11.516829921115072	0.2465488820354447	0.2896339520672735	0.23730895258799195	0.22650821330928989	0.05	-5161.903426800705	-30.011017199082442
20000	-5191.837156678344	-36.55148343319029	-5155.285673245154	3.758213462966582	1.7568907216007705	1.2033109086533622	1.7568907216007705	0.3355831042355771	7.68775926941653	9.893233910801827	0.2510055068728209	0.2866262474735341	0.23730895258799195	0.2250592930656531	0.05	-5155.285673245154	-30.543879561633883
21000	-5189.463604954796	-35.87174010948273	-5153.5918648453135	3.6163203007010436	2.0397269752925853	1.233097632826786	2.0397269752925853	0.3032755028864421	5.186338176544883	9.893233910801827	0.2510055068728209	0.2866262474735341	0.23730895258799195	0.2250592930656531	0.05	-5153.5918648453135	-30.257737702087766
22000	-5191.034309706705	-35.84427175957371	-5155.190037947132	4.077381679971429	1.9326012901454612	1.1544802385176562	1.9326012901454612	0.27839363938527334	6.178634130212387	10.895555241188973	0.2510055068728209	0.2866262474735341	0.23730895258799195	0.2250592930656531	0.05	-5155.190037947132	-29.87592810074712
23000	-5192.117060360268	-34.787056742143946	-5157.330003618124	3.938532087756835	1.7368617333361633	1.0148495216142095	1.7368617333361633	0.28760020019580235	4.790358409151537	10.895555241188973	0.2510055068728209	0.2866262474735341	0.23730895258799195	0.2250592930656531	0.05	-5157.330003618124	-29.073205082749773
24000	-5189.848243389509	-36.04607509236865	-5153.80216829714	3.762731956264423	1.824957808996639	1.3001581404890712	1.824957808996639	0.2919557102811447	5.241207728449665	11.181222360046089	0.2510055068728209	0.2866262474735341	0.23469555204974338	0.22767269360390166	0.05	-5153.80216829714	-30.193185133270944
